gaze_X, gaze_Y, fixationTime
3330,2143,356
3334,2143,366
3336,2141,378
3336,2140,389
3337,2139,399
3337,2138,412
3336,2139,423
3336,2141,432
3336,2143,445
3335,2146,456
3337,2147,466
3341,2148,478
3348,2151,490
3356,2155,499
3366,2159,514
3374,2162,522
3380,2162,532
3385,2162,544
3389,2164,555
3391,2166,566
3389,2174,578
3389,2183,589
3387,2191,600
3388,2196,611
3390,2196,622
3388,2186,633
3385,2175,645
3382,2165,655
3378,2157,666
3377,2158,678
3376,2160,689
3375,2164,699
3375,2165,711
3375,2165,722
3377,2167,733
3378,2164,744
3377,2159,756
3376,2152,766
3373,2143,778
3371,2136,789
3369,2133,800
3371,2137,811
3372,2142,821
3375,2147,831
3379,2152,844
3384,2157,855
3389,2162,865
3394,2167,877
3396,2169,888
3396,2168,898
3397,2166,911
3397,2163,922
3398,2158,932
3397,2155,944
3391,2148,955
3387,2144,965
3383,2142,978
3381,2141,989
3387,2144,999
3393,2145,1011
3398,2146,1022
3401,2146,1032
3403,2146,1044
3403,2147,1055
3402,2148,1065
3402,2149,1077
3401,2150,1088
3397,2152,1099
3395,2153,1112
851,2116,0
713,2116,10
628,2119,22
565,2122,34
500,2123,43
428,2124,56
411,2121,67
400,2116,77
400,2115,89
402,2115,100
406,2116,110
410,2117,124
415,2119,133
419,2121,143
421,2122,156
422,2124,167
423,2124,177
350,2122,0
303,2122,10
259,2121,23
222,2121,34
170,2119,44
133,2115,56
102,2111,68
77,2105,77
78,2101,90
87,2098,0
90,2101,11
98,2104,21
105,2107,34
126,2114,0
137,2117,10
142,2109,0
131,2100,10
112,2092,22
95,2084,33
85,2079,44
77,2077,55
80,2078,66
82,2080,76
83,2080,89
85,2080,100
87,2079,109
89,2078,121
91,2079,133
92,2082,143
91,2086,155
91,2091,166
89,2096,176
90,2098,187
90,2100,200
92,2097,209
95,2093,221
97,2090,232
98,2086,242
99,2085,254
94,2086,267
87,2087,276
83,2089,288
76,2090,300
73,2089,310
71,2089,321
70,2090,333
71,2093,343
73,2094,355
104,2091,0
124,2089,11
145,2086,22
164,2084,34
187,2079,45
207,2073,54
226,2067,67
241,2061,78
244,2060,89
248,2060,99
248,2059,112
249,2059,121
251,2059,134
251,2061,144
251,2063,155
250,2066,166
249,2068,178
249,2068,187
250,2069,200
253,2069,211
256,2068,221
259,2069,233
263,2069,245
265,2070,255
267,2072,267
269,2076,278
270,2079,291
271,2081,300
271,2082,312
271,2082,321
271,2081,334
270,2080,344
268,2078,354
266,2074,366
264,2071,378
265,2069,388
265,2067,400
264,2069,411
236,2080,0
153,2073,0
145,2071,11
138,2069,22
133,2067,32
131,2066,44
129,2065,55
130,2067,65
131,2071,77
133,2075,89
134,2080,98
133,2082,111
134,2079,122
135,2074,131
143,2058,0
147,2056,12
152,2054,23
164,2053,33
175,2054,46
188,2055,56
201,2058,66
206,2061,79
209,2064,90
209,2066,100
208,2066,113
209,2065,124
209,2065,133
209,2065,146
207,2067,157
199,2071,166
188,2076,179
177,2080,190
167,2082,201
161,2082,212
157,2081,224
154,2080,233
151,2079,247
149,2077,256
229,1325,0
244,1006,11
264,673,20
276,529,32
287,406,43
297,314,54
302,276,66
304,256,77
302,244,88
298,237,100
294,234,111
294,225,121
295,220,133
295,218,144
295,215,153
292,215,166
291,211,177
286,187,0
268,146,11
250,104,22
231,65,34
213,27,45
206,18,55
201,11,67
195,3,79
192,1,88
191,0,101
189,-3,112
189,-2,121
189,-3,134
187,-5,144
186,-9,156
186,-13,167
188,-17,179
192,-20,189
195,-20,200
195,-18,212
193,-17,222
190,-15,234
189,-13,244
191,-15,255
192,-18,270
191,-25,278
190,-32,288
187,-38,300
186,-43,311
188,-44,320
191,-45,334
194,-46,346
197,-46,355
198,-46,367
195,-43,379
194,-42,388
191,-42,400
189,-42,411
188,-45,422
187,-46,434
186,-45,444
184,-44,455
182,-43,467
181,-43,478
181,-43,488
180,-43,501
177,-43,511
173,-44,521
172,-44,533
172,-45,544
173,-46,553
175,-48,567
176,-52,578
179,-55,588
183,-56,600
187,-57,0
181,-59,12
175,-59,22
165,-61,32
165,-60,45
167,-60,55
169,-61,66
171,-62,79
171,-64,89
171,-67,99
170,-70,112
169,-70,122
169,-66,133
169,-60,145
168,-55,156
167,-51,166
170,-49,178
178,-42,189
185,-40,199
192,-38,211
196,-39,222
193,-46,232
190,-47,245
190,-48,255
257,-18,0
277,-7,10
292,0,22
284,-5,34
275,-12,44
261,-22,54
239,-36,67
214,-51,77
193,-62,88
176,-68,100
170,-66,111
169,-62,122
168,-58,134
169,-56,144
170,-56,155
170,-55,167
170,-54,178
170,-52,188
171,-52,200
172,-52,211
174,-54,221
179,-61,0
181,-62,11
183,-61,23
184,-61,33
184,-59,44
183,-59,57
182,-58,67
181,-56,77
181,-52,89
182,-50,101
183,-48,111
185,-48,123
185,-50,134
188,-51,143
193,-52,156
197,-53,166
201,-52,177
202,-51,188
199,-49,200
195,-47,210
192,-46,223
190,-45,233
189,-46,243
189,-47,256
189,-49,266
189,-51,277
188,-52,289
189,-53,301
188,-52,310
187,-50,323
188,-50,334
188,-49,344
189,-49,356
190,-49,367
191,-49,378
191,-50,389
191,-51,402
191,-51,410
191,-51,423
545,-23,0
697,-7,10
817,8,23
922,21,33
1009,30,44
1062,34,55
1097,36,68
1113,36,76
1116,35,89
1116,35,101
1117,38,109
1119,43,122
1122,49,133
1126,55,143
1128,59,156
1128,64,166
1127,69,177
1126,73,189
2341,-26,0
2549,-38,11
2707,-44,21
2807,-46,33
2885,-46,45
2942,-37,55
2943,-25,67
2932,-6,0
2928,-3,10
2920,0,23
2863,12,0
2866,14,12
2888,15,23
3071,-32,0
3110,-35,13
3182,-35,0
3194,-29,14
3219,-18,24
3236,-12,34
3240,-10,46
3245,-9,57
3251,-13,68
3256,-17,80
3259,-21,91
3260,-25,101
3257,-28,114
3252,-30,124
3228,-42,0
3234,-48,12
3241,-55,23
3249,-58,33
3251,-58,45
3255,-58,57
3259,-55,67
3264,-52,79
3268,-47,89
3271,-44,100
3273,-43,113
3275,-42,123
3276,-41,134
3275,-39,146
3274,-38,157
3273,-37,167
3271,-37,179
3268,-38,190
3264,-38,200
3261,-38,212
3259,-41,223
3259,-43,234
3259,-44,245
3258,-43,257
3257,-41,267
3255,-38,279
3256,-36,290
3258,-39,301
3261,-41,312
3262,-43,323
3263,-45,333
3262,-44,345
3262,-44,356
3262,-46,367
3262,-46,379
3262,-47,390
3263,-45,400
3264,-43,413
3264,-41,423
3254,-47,0
3251,-42,12
3247,-37,22
3206,-31,0
3209,-34,12
3222,-40,23
3234,-43,34
3241,-47,46
3245,-49,56
3247,-51,67
3251,-52,79
3255,-52,89
3258,-51,100
3263,-50,112
3266,-49,123
3267,-48,134
3267,-48,146
3265,-49,157
3261,-50,167
3254,-51,179
3249,-50,190
3244,-50,201
3242,-48,213
3242,-47,223
3243,-47,234
3246,-47,245
3250,-46,257
3255,-46,267
3260,-42,278
3265,-39,290
3268,-37,299
3269,-36,312
3270,-36,323
3269,-36,334
3269,-37,345
3268,-38,357
3265,-38,367
3262,-39,379
3258,-39,390
3256,-40,400
3255,-42,412
3251,-43,423
3247,-45,433
3244,-46,445
3242,-47,456
3244,-47,466
3246,-47,478
3248,-48,490
3249,-49,500
3255,-50,512
3261,-50,523
3267,-49,535
3273,-48,545
3275,-46,557
3277,-43,567
3279,-41,579
3278,-39,590
3276,-37,600
3274,-35,611
3273,-34,623
3273,-37,633
3273,-41,645
3273,-45,656
3273,-47,667
3274,-47,678
3277,-45,689
3282,-43,701
3286,-40,712
3291,-37,723
3293,-34,733
3290,-33,746
3285,-31,757
3279,-30,767
3269,-30,779
3260,-31,789
3252,-33,800
3244,-36,811
3242,-37,824
3241,-36,833
3242,-36,845
3244,-36,857
3245,-35,866
3239,1606,0
3250,1678,10
3268,1772,22
3283,1866,33
3297,1941,43
3305,1962,55
3307,1960,66
3308,1957,78
3307,1955,88
3302,1959,100
3297,1964,111
3289,1971,122
3281,1976,133
3272,1976,145
3264,1975,155
3258,1973,166
3254,1972,176
3255,1974,189
3255,1976,200
3258,1980,210
3262,1984,222
3266,1987,234
3272,1993,244
3274,1997,256
3277,1999,266
3281,2002,277
3282,2003,288
3282,2003,299
3281,2005,311
3279,2009,322
3278,2013,333
3232,2042,0
3225,2058,12
3239,2077,21
3279,2093,33
3308,2103,44
3338,2115,56
3359,2126,66
3380,2139,78
3401,2148,89
3418,2154,99
3434,2155,111
3439,2152,122
3440,2153,132
3440,2154,145
3439,2155,155
3441,2155,166
3445,2153,177
3448,2150,189
3449,2147,199
3445,2145,211
3441,2141,222
3437,2137,232
3432,2131,244
3429,2127,255
3426,2127,266
3424,2130,278
3423,2134,288
3421,2138,299
3417,2142,311
3412,2144,323
3405,2146,333
3399,2148,345
3388,2148,355
3377,2148,366
3366,2149,378
3357,2150,391
3361,2152,399
3366,2154,411
3372,2156,422
3377,2156,433
3374,2156,445
3372,2157,456
3368,2157,466
3362,2151,477
3355,2145,489
3353,2140,500
3352,2138,511
3359,2141,523
3368,2145,532
3375,2146,544
3386,2146,555
3397,2146,565
3407,2147,577
3415,2151,588
3420,2156,600
3422,2160,611
3424,2164,622
3423,2165,633
3419,2167,644
3415,2169,655
3414,2171,665
3415,2172,677
3419,2173,688
3421,2172,699
3421,2171,711
