gaze_X, gaze_Y, fixationTime
1712,1136,54
1709,1139,65
1705,1140,75
1703,1142,86
1702,1141,99
1704,1138,108
1705,1136,119
1708,1132,132
1709,1130,141
1710,1129,154
1710,1127,166
1755,1087,0
1781,1072,10
1807,1056,24
1824,1047,33
1845,1037,44
1864,1029,56
1878,1023,66
1889,1020,77
1892,1020,89
1892,1020,98
1892,1021,111
1893,1022,122
1893,1022,132
1893,1022,144
1892,1022,156
1890,1021,166
1889,1021,177
1888,1019,190
1888,1016,198
1890,1013,210
1892,1011,222
1486,1353,0
1491,1307,9
1502,1276,21
1505,1255,33
1507,1240,45
1512,1209,54
1517,1183,66
1522,1149,76
1526,1113,91
1527,1098,99
1525,1084,109
1526,1079,122
1526,1076,132
1528,1073,142
1531,1072,154
1533,1070,167
1533,1068,176
1532,1068,187
1531,1069,200
1530,1069,209
1529,1070,221
1529,1071,233
1167,857,0
983,745,11
840,650,22
667,535,32
526,437,44
460,388,55
357,312,66
275,253,77
220,207,88
144,147,99
145,142,109
148,135,122
150,133,133
153,130,144
155,129,155
154,129,167
153,130,176
152,130,189
152,130,200
153,130,210
153,131,220
153,131,232
152,132,244
155,131,254
156,129,266
150,122,276
124,106,289
92,89,299
56,70,310
25,53,321
12,44,334
-3,34,343
-16,24,354
-26,18,367
-31,14,377
-32,13,388
-28,14,400
-24,15,413
-21,16,422
-18,20,432
-15,23,443
-13,25,455
-11,28,466
-11,28,476
-10,28,488
-10,29,500
-11,30,509
-12,31,521
-12,32,534
-13,33,543
-13,37,555
-14,40,567
-14,43,576
-14,46,587
-14,47,600
-14,48,609
-14,50,621
-13,53,633
-10,56,644
-7,59,655
-3,61,665
0,64,677
2,66,688
5,69,699
7,71,709
8,75,721
9,78,732
9,81,742
8,82,754
7,82,766
6,81,776
9,80,787
15,79,800
22,78,810
29,77,820
31,77,832
31,79,843
31,82,854
27,85,866
24,87,877
22,87,888
19,88,899
20,87,909
20,87,921
19,87,932
20,87,942
22,88,954
23,88,965
24,89,976
25,89,987
25,88,999
26,86,1010
27,85,1021
29,85,1034
30,84,1042
31,83,1056
31,82,1066
30,82,1076
31,82,1087
31,82,1099
33,83,1109
36,84,1121
73,88,1133
112,92,1143
150,95,1154
189,99,1166
195,100,1176
200,100,1187
206,100,1198
210,96,1210
211,92,1220
210,89,1233
208,86,1242
207,86,1254
207,85,1266
207,83,1275
206,81,1287
205,78,1299
203,76,1310
202,76,1321
197,77,1333
191,78,1343
182,80,1354
167,83,1366
153,85,1376
139,87,1387
127,87,1399
121,86,1409
117,84,1420
114,83,1434
112,82,1443
111,81,1453
110,81,1467
108,80,1476
106,80,1487
103,79,1500
101,77,1509
100,75,1521
101,74,1532
102,74,1543
103,75,1554
105,77,1566
105,79,1575
105,80,1587
105,81,1599
105,81,1608
104,80,1620
79,66,1633
46,46,1642
11,25,1653
-22,4,1666
-29,-4,1675
-29,-7,1687
-26,-11,1700
-21,-15,1714
-16,-20,1720
-7,-23,1732
4,-28,1743
14,-29,1753
21,-31,1765
25,-31,1775
25,-31,1787
26,-31,1798
25,-31,1809
23,-31,1820
21,-30,1832
20,-30,1842
18,-29,1853
18,-28,1865
17,-30,1875
16,-31,1886
16,-33,1899
15,-36,1908
14,-38,1920
13,-41,1932
11,-44,1942
9,-46,1954
8,-49,1964
8,-50,1976
9,-51,1986
9,-52,1998
9,-51,2009
9,-49,2021
9,-46,2032
9,-43,2042
8,-41,2053
6,-40,2066
4,-41,2075
1,-43,2086
-1,-46,2098
-2,-50,2108
-2,-53,2120
-2,-56,2131
-1,-58,2141
-1,-59,2153
-1,-60,2164
-1,-58,2176
-2,-58,2187
-3,-57,2197
-4,-57,2208
-4,-58,2220
-4,-61,2231
-3,-65,2241
-3,-68,2254
-2,-71,2264
-2,-72,2274
-1,-72,2286
0,-70,2297
1,-67,2308
3,-64,2319
4,-60,2330
1209,725,0
1193,659,10
1202,627,22
1199,612,33
1192,598,43
1177,565,55
1160,527,67
1143,493,76
1124,459,88
1107,439,100
1093,425,110
1085,409,121
1125,331,0
1155,289,11
1184,247,23
1209,209,32
1230,180,44
1244,160,56
1256,146,66
1264,139,78
1268,139,90
1271,140,99
1274,142,111
1277,143,123
1279,145,132
1281,147,144
1414,132,0
1540,118,11
1665,104,21
1782,91,34
1801,88,43
1812,86,54
1842,81,67
1873,76,76
1900,72,88
1924,70,100
1926,70,110
1925,70,121
1924,69,133
1922,68,142
1920,67,154
1916,68,167
1915,69,176
1912,71,188
1910,72,201
1910,73,209
1909,74,221
1909,76,232
1907,79,243
1905,82,254
1904,85,266
1904,88,276
1905,90,287
1905,92,299
1905,94,309
1907,94,322
1909,94,332
1911,96,342
1911,97,354
1910,99,366
1907,101,376
1904,102,387
1901,102,401
1898,103,409
1897,104,420
1896,105,439
1897,107,442
1898,108,454
1900,109,466
1901,109,477
1901,110,487
1901,112,500
1901,114,510
1902,116,521
1902,117,533
1902,118,542
1902,120,554
1899,124,566
1897,128,576
1894,132,588
1893,133,599
1893,132,608
1893,130,620
1893,127,633
1893,125,642
1892,124,654
1891,125,667
1889,127,676
1887,130,687
1887,132,699
1886,135,708
1887,135,720
1887,135,733
1888,134,742
1888,133,754
1888,132,765
1890,131,776
1893,132,787
1897,132,799
1900,133,809
1902,134,822
1903,135,832
