gaze_X, gaze_Y, fixationTime
113,50,0
113,52,0
115,53,10
117,56,21
119,58,31
120,60,43
120,61,55
119,62,64
120,63,76
120,64,89
121,64,98
122,63,109
123,62,121
123,60,132
124,59,142
124,59,156
123,58,166
122,57,185
122,57,188
120,56,198
117,58,210
114,61,222
111,63,233
109,65,243
108,63,255
108,61,265
110,59,276
112,58,288
114,58,299
117,57,309
117,57,321
117,56,331
118,55,342
118,54,354
118,54,364
119,53,375
119,52,387
120,51,399
120,50,408
120,50,421
120,52,432
120,56,442
120,59,454
119,63,464
120,66,476
121,68,487
122,70,498
123,71,509
124,71,520
125,69,531
126,67,542
126,66,554
126,65,564
125,65,575
124,64,587
123,64,598
122,64,609
122,65,621
121,67,631
120,67,642
120,67,653
119,67,664
118,67,675
118,68,687
117,68,698
117,68,708
117,68,720
118,69,731
118,69,742
119,70,754
120,71,764
121,72,775
123,72,787
123,72,798
123,72,808
123,72,822
122,71,831
122,71,842
122,71,854
122,71,864
123,72,875
124,72,887
126,73,898
127,73,909
128,71,920
129,70,930
130,68,943
130,66,954
131,66,965
132,68,975
134,70,988
135,73,998
136,77,1008
137,79,1020
136,82,1031
135,84,1041
134,85,1053
134,85,1064
135,86,1075
138,88,1088
141,89,1098
141,89,1108
141,87,1120
139,83,1130
138,79,1143
138,76,1153
138,73,1164
137,70,1175
137,67,1186
137,64,1197
136,62,1208
136,62,1220
136,62,1231
136,63,1242
134,62,1253
131,60,1264
128,58,1278
769,47,0
1057,45,11
1296,47,22
1369,47,34
1433,47,44
1488,48,55
1529,49,66
1553,48,78
1562,48,88
1563,46,100
1562,46,112
1561,47,123
1561,48,132
1560,48,144
1560,49,155
1561,51,166
1562,53,177
1563,57,189
1563,60,199
1562,62,210
1562,65,222
1562,67,233
1562,70,245
1561,72,254
3119,-81,0
3172,-70,12
3249,-54,22
3265,-44,33
3278,-34,44
3361,-18,55
3414,-10,66
3439,-8,77
3464,-5,89
3473,-7,100
3479,-8,111
3484,-8,122
3487,-10,133
3486,-11,145
3487,-12,155
3488,-15,166
3489,-17,178
3489,-20,189
3488,-25,199
3485,-29,211
3483,-34,222
3484,-35,233
3487,-33,244
3490,-31,255
3493,-29,266
3494,-30,277
3495,-31,289
3496,-34,299
3498,-38,311
3499,-42,322
3500,-46,333
3502,-45,344
3503,-40,355
3505,-34,366
3505,-28,378
3505,-26,389
3506,-23,400
3505,-23,411
3504,-24,425
3503,-24,432
3502,-26,445
3500,-28,455
3500,-30,466
3500,-33,477
3499,-36,488
3500,-38,499
3501,-39,510
3502,-38,523
3503,-38,532
3504,-35,544
3505,-34,554
3505,-34,566
3504,-35,578
3503,-36,588
3502,-39,601
3503,-40,611
3505,-41,622
3507,-41,632
3510,-43,645
3511,-45,655
3512,-48,665
3512,-52,678
3513,-59,688
3513,-66,700
3513,-71,711
3513,-76,721
3512,-75,732
3512,-74,743
3511,-69,756
3510,-62,765
3509,-56,777
3510,-48,788
3511,-45,799
3511,-43,810
3511,-41,821
3510,-40,833
3508,-38,844
3507,-38,855
3506,-37,865
3504,-37,878
3502,-36,888
3500,-36,898
3498,-37,911
3498,-38,921
3498,-39,932
3497,-39,943
3497,-38,955
3496,-36,965
3496,-34,977
3495,-32,988
3494,-30,999
3493,-29,1011
3491,-28,1021
3489,-28,1033
3487,-27,1043
3484,-27,1054
3482,-27,1069
3482,-28,1076
3481,-29,1089
3481,-29,1098
3480,-29,1111
3479,-30,1121
3479,-30,1132
3479,-31,1144
3479,-29,1154
3479,-27,1166
3480,-26,1177
3482,-25,1187
3483,-25,1200
3485,-24,1210
3486,-23,1223
3487,-22,1233
3486,-22,1243
3485,-24,1254
3483,-26,1266
3482,-27,1275
3473,-44,0
3464,-38,13
3452,-33,24
3447,-5,35
3442,-1,46
3439,2,59
3437,4,68
3435,8,78
3432,12,89
3431,12,101
3430,14,111
3430,13,122
3429,13,135
3426,14,145
3425,14,156
3423,15,167
3423,16,180
3423,17,189
3423,17,200
3422,13,212
3420,7,222
3417,2,234
3415,-2,245
3413,-4,256
3413,-5,267
3413,-4,279
3413,-4,291
3413,-3,301
3412,-2,312
3411,0,323
3410,3,333
3410,5,345
3411,7,357
3411,7,367
3411,7,383
3411,7,389
3413,7,401
3414,7,412
3416,6,422
3418,5,433
3419,4,446
3421,2,457
3421,2,467
3420,1,479
3419,0,490
3418,-1,500
3417,-3,512
3416,-3,523
3415,-3,533
2484,810,0
2332,948,12
2295,983,23
2278,1000,34
2257,1018,45
2235,1035,57
2217,1052,67
2207,1060,79
2204,1063,89
2204,1064,100
2204,1063,111
2203,1060,123
2203,1058,135
2204,1057,145
2204,1057,156
2205,1059,168
2431,881,0
2541,795,15
2634,726,21
2673,696,32
2702,673,44
2724,655,55
2740,643,65
2747,635,76
2747,632,89
2744,632,101
2741,632,111
2738,633,122
2737,634,133
2736,634,144
2736,633,156
2737,632,167
2740,631,177
2743,630,188
2746,630,199
2748,630,210
2751,631,221
2753,631,232
2803,591,0
2878,529,12
2982,442,23
3110,336,34
3201,258,44
3277,191,56
3335,141,66
3379,104,77
3409,78,88
3427,63,100
3434,56,110
3432,55,122
3429,54,134
3429,53,144
3429,50,156
3430,48,168
3431,46,177
3430,45,189
3429,45,200
3429,46,211
3430,47,222
3431,47,233
3433,49,247
3435,50,255
3437,52,266
3438,51,277
3440,50,288
3441,49,300
3443,48,310
3445,48,321
3447,48,333
3448,47,344
3449,46,354
3450,44,369
3449,43,378
3449,43,389
3449,42,401
3450,43,411
3450,42,422
3451,42,434
3451,42,444
3451,42,455
3451,40,466
3452,39,477
3453,38,488
3453,36,499
3453,36,510
3452,36,522
3452,35,533
3453,36,544
3452,40,555
3451,47,566
3448,51,577
3445,55,588
3444,53,600
3443,50,610
3444,48,621
3446,45,633
3447,45,644
3448,44,655
3446,43,666
3443,41,678
3440,41,689
3437,41,699
3434,44,710
3431,47,721
3429,49,733
3428,50,744
3429,51,755
3430,51,765
3430,51,777
3428,49,788
3425,45,800
3421,42,810
3418,39,821
3417,40,833
3416,42,843
3415,44,854
3415,46,867
3416,48,880
3417,48,888
3418,49,899
3418,51,911
3416,51,922
3414,51,932
3413,51,944
3413,49,955
3414,47,966
3413,44,977
3412,41,988
3412,39,998
3411,38,1010
3412,37,1021
3412,37,1033
3412,36,1043
3411,37,1054
3411,39,1065
3410,42,1077
3408,44,1088
3407,46,1100
3407,45,1110
3406,45,1121
3295,1102,0
3270,1334,9
3260,1417,20
3249,1504,33
3239,1594,43
3228,1679,54
3220,1736,65
3217,1760,78
3216,1771,87
3215,1777,98
3215,1778,111
3214,1777,121
3213,1776,131
3212,1777,144
3210,1779,154
3209,1782,165
3208,1786,176
3208,1787,188
3208,1786,198
3207,1785,213
3208,1785,221
3208,1786,233
3207,1787,244
3204,1788,253
3199,1789,266
3196,1790,277
3193,1791,287
3195,1791,300
3198,1792,311
3200,1793,321
3279,1911,0
3318,1968,12
3357,2027,22
3360,2038,35
3363,2045,45
3368,2053,56
3373,2059,67
3377,2062,79
3378,2064,90
3379,2062,102
3381,2061,111
3383,2061,123
3387,2060,134
3389,2060,145
3389,2060,156
3388,2060,169
3387,2060,177
3388,2059,189
3391,2057,201
3397,2056,211
3402,2056,223
3405,2057,234
3404,2060,244
3400,2062,255
3394,2063,267
3389,2064,278
3386,2065,289
3384,2066,303
3385,2066,311
3386,2066,324
3386,2065,335
3387,2063,345
3387,2062,355
3388,2061,369
3389,2062,378
3390,2063,389
3390,2064,400
3390,2066,411
3391,2067,422
1393,2054,0
1283,2061,11
1153,2073,24
973,2090,33
792,2107,45
638,2123,57
546,2133,66
517,2137,78
507,2138,89
503,2138,99
505,2139,113
508,2139,122
511,2140,134
514,2141,145
515,2142,156
515,2143,167
516,2143,178
516,2143,188
517,2143,200
518,2142,212
518,2141,222
517,2141,233
368,2124,0
276,2115,4
177,2105,16
137,2099,27
112,2096,37
92,2093,51
81,2092,60
77,2092,71
76,2093,83
81,2095,93
84,2096,104
83,2094,117
82,2092,126
81,2090,137
80,2088,150
81,2087,160
83,2087,171
84,2087,184
86,2087,194
86,2087,205
85,2087,217
83,2087,227
81,2088,237
80,2088,251
79,2088,260
80,2089,271
80,2090,284
81,2091,293
82,2092,304
83,2091,316
85,2090,327
87,2087,338
88,2085,350
90,2082,360
90,2080,371
91,2077,384
92,2075,393
93,2073,404
94,2072,416
95,2071,426
97,2071,437
101,2072,450
119,2073,460
143,2074,471
168,2075,483
193,2075,493
208,2075,504
221,2074,516
240,2074,527
256,2074,537
269,2073,552
279,2071,560
281,2067,574
283,2063,584
285,2059,593
286,2055,604
80,473,0
78,417,10
78,378,21
78,344,33
77,316,43
74,299,53
70,287,66
66,280,75
62,276,87
60,271,99
58,269,108
59,269,120
59,268,132
59,266,143
59,264,153
58,262,166
57,260,176
59,258,187
61,258,199
64,254,209
67,251,221
68,248,232
69,245,243
69,243,253
67,241,266
61,236,276
55,232,287
49,229,300
44,226,309
42,220,321
40,211,332
36,198,341
33,182,354
30,161,366
27,140,374
24,120,387
21,98,399
18,87,409
18,81,420
16,76,433
15,75,441
14,74,453
14,71,466
16,68,477
18,66,487
21,65,500
23,65,509
24,64,520
21,63,531
17,61,542
14,61,553
12,61,565
14,62,575
17,62,587
18,62,599
21,62,608
22,62,621
24,63,632
28,65,641
29,66,654
33,69,665
35,72,676
37,76,687
37,78,700
35,80,709
33,80,719
30,78,732
28,77,742
27,75,753
27,73,765
30,73,775
32,73,787
36,73,799
38,72,808
39,70,820
1485,9,0
1717,3,13
1786,9,22
1851,16,33
1908,21,45
1960,28,56
1996,40,67
2009,52,78
2011,72,89
2003,90,100
1992,98,111
1982,104,121
1980,104,133
1979,103,145
1979,104,155
1979,105,168
1979,107,177
1979,108,188
1980,109,200
1981,110,212
1982,113,221
1985,117,232
1988,121,244
1989,123,254
1990,124,267
1989,123,277
1989,122,287
1989,123,299
1989,123,312
1989,124,321
1990,124,332
1990,124,344
1990,126,354
1992,129,367
1668,712,0
1613,821,11
1577,904,21
1553,976,34
1534,1045,46
1521,1114,56
1527,1156,66
1540,1172,80
1549,1178,89
1560,1170,100
1563,1160,112
1566,1150,121
1571,1140,134
1616,1110,0
1651,1090,11
1691,1068,23
1728,1048,34
1758,1030,43
1797,1008,55
1828,991,68
1855,977,77
1876,967,88
1878,966,103
1878,966,109
1876,966,122
1874,966,133
1871,966,144
1869,966,157
1869,966,168
1867,966,178
1842,986,0
1805,1028,10
1769,1069,21
1732,1111,32
1716,1134,42
