gaze_X, gaze_Y, pos_X, pos_Y, fixationTime
3251,-41,-633,1443,67
3260,-47,-633,1443,78
3268,-52,-633,1443,89
3271,-56,-632,1443,101
3273,-57,-632,1443,111
3273,-56,-631,1443,123
3274,-54,-631,1444,134
3275,-51,-631,1444,145
3276,-49,-631,1444,156
3258,-46,-633,1440,0
3263,-51,-633,1440,7
3264,-54,-633,1440,18
3235,-48,-636,1435,0
3233,-47,-636,1435,10
3232,-44,-636,1435,22
3215,-34,-641,1431,0
3222,-36,-641,1432,12
3238,-39,-643,1432,23
3248,-40,-643,1432,33
3251,-40,-643,1431,45
3250,-42,-645,1431,56
3249,-45,-645,1431,66
3247,-46,-646,1431,78
3246,-46,-647,1431,90
3246,-44,-647,1431,100
3246,-42,-647,1431,112
3247,-44,-649,1431,123
3247,-46,-649,1431,133
3246,-48,-649,1430,145
3246,-49,-649,1429,157
3245,-47,-649,1429,166
3244,-44,-650,1429,178
3244,-41,-650,1429,189
3245,-37,-650,1429,201
3247,-34,-650,1429,211
3248,-30,-650,1428,223
3247,-27,-650,1428,233
3243,-22,-651,1429,245
3238,-19,-652,1429,256
3234,-17,-652,1429,267
3232,-16,-652,1429,279
3231,-17,-653,1428,289
3231,-16,-653,1428,299
3232,-17,-653,1428,312
3215,-19,-653,1429,0
3215,-28,-653,1429,8
3219,-37,-654,1429,21
3224,-46,-654,1431,32
3229,-49,-654,1431,43
3232,-48,-653,1432,54
3234,-48,-653,1433,65
3234,-49,-653,1433,75
3235,-49,-653,1433,89
3237,-47,-653,1433,99
3240,-43,-653,1433,109
3245,-38,-653,1433,120
3246,-36,-652,1433,132
3246,-36,-652,1433,142
3246,-38,-651,1433,157
3244,-40,-651,1433,166
3244,-39,-651,1433,176
3243,-39,-651,1434,188
3240,-41,-652,1435,200
3236,-45,-652,1435,210
3232,-49,-652,1436,222
3229,-52,-651,1436,232
3229,-53,-651,1436,243
3229,-52,-651,1437,255
3233,-49,-651,1437,265
3238,-46,-651,1437,276
3242,-43,-652,1438,288
3247,-40,-652,1439,299
3250,-38,-652,1439,311
3252,-38,-652,1439,321
3253,-37,-652,1438,332
3255,-35,-652,1438,342
3256,-33,-652,1438,355
3256,-30,-652,1437,366
3254,-31,-652,1437,376
3251,-35,-652,1437,387
3247,-39,-652,1436,399
3244,-42,-652,1436,410
3242,-41,-652,1436,421
3243,-51,-653,1436,0
3249,-51,-653,1436,10
3255,-48,-653,1436,22
3260,-43,-653,1435,32
3258,-39,-653,1435,43
3257,-36,-653,1435,55
3255,-32,-653,1435,66
3255,-28,-653,1435,76
3254,-25,-654,1435,89
3251,-25,-655,1435,99
3247,-27,-655,1435,110
3242,-29,-656,1435,122
3227,1430,-654,1418,0
3222,1550,-654,1417,12
3220,1605,-654,1417,22
3218,1640,-654,1416,33
3215,1771,-653,1415,45
3215,1870,-653,1415,55
3220,1938,-652,1414,79
3225,2005,-651,1413,79
3223,2007,-651,1413,88
3220,2005,-650,1411,100
3216,2002,-650,1409,111
3211,2001,-650,1409,125
3213,2001,-648,1407,134
3214,1998,-647,1405,146
3209,1995,-647,1405,155
3203,1992,-647,1403,167
3199,1990,-646,1400,178
3197,1990,-646,1400,189
3199,1990,-645,1398,200
3201,1990,-645,1396,212
3200,1990,-645,1396,222
3199,1990,-644,1394,233
3198,1991,-643,1393,245
3197,1993,-643,1393,255
3196,1996,-643,1392,267
3195,2000,-643,1391,278
3194,2005,-643,1391,288
3194,2010,-643,1390,300
3194,2012,-642,1389,311
3197,2011,-642,1389,322
3198,2010,-642,1389,333
3198,2008,-642,1388,344
3199,2007,-642,1388,355
3205,2015,-642,1388,367
3211,2021,-642,1387,378
3227,2034,-642,1387,388
3246,2048,-640,1383,400
3264,2060,-640,1382,411
3282,2073,-640,1381,422
3292,2080,-640,1379,433
3298,2085,-640,1379,444
3298,2085,-640,1379,454
3300,2086,-640,1378,466
3299,2083,-640,1378,478
3298,2080,-640,1378,489
3299,2077,-641,1378,500
3297,2074,-641,1379,511
3297,2076,-641,1378,522
3296,2078,-640,1377,533
3294,2081,-641,1377,544
3293,2081,-641,1377,555
3293,2079,-642,1378,567
3295,2075,-642,1379,578
3297,2071,-642,1379,588
3298,2071,-643,1379,600
3300,2076,-643,1379,611
3305,2082,-643,1378,621
3309,2088,-644,1377,633
3315,2091,-644,1377,644
3317,2092,-644,1377,658
3316,2090,-645,1377,666
3314,2088,-645,1377,677
3318,2090,-645,1377,688
3323,2093,-645,1376,699
3331,2099,-645,1375,710
3338,2108,-645,1375,721
3340,2117,-644,1374,732
3315,2169,-647,1377,0
3311,2171,-648,1376,11
3309,2174,-648,1377,23
3323,2174,-648,1377,33
3336,2173,-648,1376,45
3349,2173,-648,1376,56
3358,2172,-648,1376,67
3362,2169,-649,1376,78
3367,2165,-650,1377,90
3371,2161,-650,1377,100
3374,2159,-650,1377,112
3377,2157,-650,1377,123
3376,2156,-650,1377,134
3372,2154,-650,1377,145
3367,2152,-651,1377,156
3360,2152,-651,1377,167
3353,2155,-651,1376,178
3348,2159,-653,1376,189
3343,2159,-653,1376,200
3342,2158,-655,1377,212
3341,2155,-656,1378,223
3342,2151,-656,1378,233
3342,2150,-657,1378,245
3342,2148,-658,1378,256
3343,2145,-658,1378,266
3344,2144,-660,1378,278
3345,2143,-660,1378,289
3344,2143,-660,1377,299
3339,2143,-661,1377,311
3332,2142,-661,1377,322
3328,2143,-662,1377,333
3327,2143,-662,1376,345
3330,2143,-662,1376,356
3334,2143,-662,1375,366
3336,2141,-662,1376,378
3336,2140,-663,1375,389
3337,2139,-662,1375,399
3337,2138,-663,1375,412
3336,2139,-663,1376,423
3336,2141,-663,1376,432
3336,2143,-663,1376,445
3335,2146,-663,1376,456
3337,2147,-663,1376,466
3341,2148,-663,1376,478
3348,2151,-663,1376,490
3356,2155,-663,1376,499
3366,2159,-663,1378,514
3374,2162,-663,1379,522
3380,2162,-663,1379,532
3385,2162,-663,1379,544
3389,2164,-663,1379,555
3391,2166,-663,1379,566
3389,2174,-662,1378,578
3389,2183,-662,1377,589
3387,2191,-662,1377,600
3388,2196,-662,1377,611
3390,2196,-662,1378,622
3388,2186,-662,1378,633
3385,2175,-663,1379,645
3382,2165,-663,1379,655
3378,2157,-663,1379,666
3377,2158,-663,1380,678
3376,2160,-663,1380,689
3375,2164,-663,1380,699
3375,2165,-663,1381,711
3375,2165,-664,1381,722
3377,2167,-664,1381,733
3378,2164,-664,1380,744
3377,2159,-664,1379,756
3376,2152,-664,1379,766
3373,2143,-664,1380,778
3371,2136,-665,1381,789
3369,2133,-665,1381,800
3371,2137,-665,1383,811
3372,2142,-666,1384,821
3375,2147,-666,1384,831
3379,2152,-666,1385,844
3384,2157,-666,1385,855
3389,2162,-666,1385,865
3394,2167,-666,1385,877
3396,2169,-666,1384,888
3396,2168,-666,1384,898
3397,2166,-667,1384,911
3397,2163,-667,1384,922
3398,2158,-667,1384,932
3397,2155,-667,1384,944
3391,2148,-668,1385,955
3387,2144,-668,1385,965
3383,2142,-668,1386,978
3381,2141,-669,1386,989
3387,2144,-669,1386,999
3393,2145,-669,1386,1011
3398,2146,-670,1387,1022
3401,2146,-670,1387,1032
3403,2146,-671,1388,1044
3403,2147,-671,1389,1055
3402,2148,-671,1389,1065
3402,2149,-672,1389,1077
3401,2150,-673,1389,1088
3397,2152,-673,1389,1099
3395,2153,-674,1389,1112
851,2116,-696,1396,0
713,2116,-696,1396,10
628,2119,-696,1395,22
565,2122,-697,1391,34
500,2123,-697,1391,43
428,2124,-697,1390,56
411,2121,-698,1389,67
400,2116,-698,1389,77
400,2115,-698,1388,89
402,2115,-698,1387,100
406,2116,-698,1387,110
410,2117,-699,1387,124
415,2119,-699,1386,133
419,2121,-699,1386,143
421,2122,-699,1385,156
422,2124,-700,1384,167
423,2124,-700,1384,177
350,2122,-700,1377,0
303,2122,-700,1377,10
259,2121,-701,1376,23
222,2121,-701,1377,34
170,2119,-701,1377,44
133,2115,-702,1377,56
102,2111,-702,1376,68
77,2105,-702,1376,77
78,2101,-702,1375,90
87,2098,-702,1373,0
90,2101,-702,1372,11
98,2104,-702,1372,21
105,2107,-701,1372,34
126,2114,-701,1369,0
137,2117,-700,1369,10
142,2109,-700,1368,0
131,2100,-700,1368,10
112,2092,-699,1369,22
95,2084,-699,1371,33
85,2079,-699,1371,44
77,2077,-699,1372,55
80,2078,-698,1371,66
82,2080,-698,1371,76
83,2080,-698,1371,89
85,2080,-697,1372,100
87,2079,-697,1372,109
89,2078,-697,1371,121
91,2079,-696,1372,133
92,2082,-696,1372,143
91,2086,-696,1373,155
91,2091,-696,1375,166
89,2096,-696,1375,176
90,2098,-696,1376,187
90,2100,-695,1376,200
92,2097,-695,1376,209
95,2093,-695,1376,221
97,2090,-695,1378,232
98,2086,-695,1378,242
99,2085,-695,1379,254
94,2086,-695,1380,267
87,2087,-695,1380,276
83,2089,-694,1380,288
76,2090,-694,1381,300
73,2089,-694,1381,310
71,2089,-694,1382,321
70,2090,-693,1384,333
71,2093,-693,1384,343
73,2094,-693,1384,355
104,2091,-691,1386,0
124,2089,-690,1385,11
145,2086,-690,1385,22
164,2084,-690,1384,34
187,2079,-687,1382,45
207,2073,-687,1382,54
226,2067,-687,1382,67
241,2061,-685,1381,78
244,2060,-685,1381,89
248,2060,-685,1381,99
248,2059,-684,1382,112
249,2059,-684,1382,121
251,2059,-684,1382,134
251,2061,-683,1384,144
251,2063,-683,1384,155
250,2066,-683,1384,166
249,2068,-681,1384,178
249,2068,-681,1384,187
250,2069,-681,1385,200
253,2069,-679,1385,211
256,2068,-679,1385,221
259,2069,-679,1385,233
263,2069,-677,1385,245
265,2070,-677,1385,255
267,2072,-677,1384,267
269,2076,-675,1383,278
270,2079,-675,1383,291
271,2081,-675,1382,300
271,2082,-673,1381,312
271,2082,-673,1381,321
271,2081,-673,1381,334
270,2080,-672,1381,344
268,2078,-672,1381,354
266,2074,-672,1382,366
264,2071,-673,1383,378
265,2069,-673,1383,388
265,2067,-673,1385,400
264,2069,-674,1389,411
236,2080,-674,1386,0
153,2073,-673,1384,0
145,2071,-673,1383,11
138,2069,-673,1383,22
133,2067,-673,1383,32
131,2066,-674,1383,44
129,2065,-674,1384,55
130,2067,-674,1384,65
131,2071,-674,1385,77
133,2075,-675,1385,89
134,2080,-675,1385,98
133,2082,-675,1384,111
134,2079,-675,1382,122
135,2074,-675,1382,131
143,2058,-676,1381,0
147,2056,-677,1382,12
152,2054,-679,1384,23
164,2053,-679,1384,33
175,2054,-680,1384,46
188,2055,-680,1385,56
201,2058,-680,1385,66
206,2061,-681,1385,79
209,2064,-681,1385,90
209,2066,-681,1385,100
208,2066,-681,1385,113
209,2065,-682,1385,124
209,2065,-682,1385,133
209,2065,-683,1386,146
207,2067,-685,1390,157
199,2071,-685,1390,166
188,2076,-685,1391,179
177,2080,-686,1391,190
167,2082,-686,1391,201
161,2082,-687,1391,212
157,2081,-687,1391,224
154,2080,-687,1391,233
151,2079,-687,1391,247
149,2077,-687,1390,256
229,1325,-684,1388,0
244,1006,-685,1389,11
264,673,-685,1389,20
276,529,-686,1389,32
287,406,-687,1392,43
297,314,-687,1392,54
302,276,-688,1395,66
304,256,-690,1400,77
302,244,-690,1400,88
298,237,-691,1403,100
294,234,-693,1409,111
294,225,-693,1409,121
295,220,-693,1410,133
295,218,-694,1411,144
295,215,-694,1411,153
292,215,-694,1411,166
291,211,-694,1410,177
286,187,-695,1411,0
268,146,-696,1410,11
250,104,-696,1410,22
231,65,-697,1412,34
213,27,-699,1415,45
206,18,-699,1415,55
201,11,-699,1416,67
195,3,-701,1419,79
192,1,-701,1419,88
191,0,-702,1420,101
189,-3,-703,1422,112
189,-2,-703,1422,121
189,-3,-703,1422,134
187,-5,-704,1423,144
186,-9,-704,1423,156
186,-13,-705,1423,167
188,-17,-706,1424,179
192,-20,-706,1424,189
195,-20,-707,1425,200
195,-18,-707,1424,212
193,-17,-707,1424,222
190,-15,-708,1424,234
189,-13,-709,1423,244
191,-15,-709,1423,255
192,-18,-710,1423,270
191,-25,-711,1423,278
190,-32,-711,1423,288
